"","Species","Island","Clutch Completion","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Delta 15 N (o/oo)","Delta 13 C (o/oo)"
"1","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",39.5,17.4,186,3800,"FEMALE",8.94956,-24.69454
"2","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",40.3,18,195,3250,"FEMALE",8.36821,-25.33302
"3","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",36.7,19.3,193,3450,"FEMALE",8.76651,-25.32426
"4","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",39.3,20.6,190,3650,"MALE",8.66496,-25.29805
"5","Adelie Penguin (Pygoscelis adeliae)","Torgersen","No",38.9,17.8,181,3625,"FEMALE",9.18718,-25.21799
"6","Adelie Penguin (Pygoscelis adeliae)","Torgersen","No",39.2,19.6,195,4675,"MALE",9.4606,-24.89958
"7","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",34.6,21.1,198,4400,"MALE",8.55583,-25.22588
"8","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",38.7,19,195,3450,"FEMALE",9.18528,-25.06691
"9","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",42.5,20.7,197,4500,"MALE",8.67538,-25.13993
"10","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",34.4,18.4,184,3325,"FEMALE",8.47827,-25.23319
"11","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",46,21.5,194,4200,"MALE",9.11616,-24.77227
"12","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",37.8,18.3,174,3400,"FEMALE",8.73762,-25.09383
"13","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",37.7,18.7,180,3600,"MALE",8.66271,-25.0639
"14","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",35.9,19.2,189,3800,"FEMALE",9.22286,-25.03474
"15","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",38.2,18.1,185,3950,"MALE",8.43423,-25.22664
"16","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",38.8,17.2,180,3800,"MALE",9.63954,-25.29856
"17","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",35.3,18.9,187,3800,"FEMALE",9.21292,-24.3613
"18","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",40.6,18.6,183,3550,"MALE",8.93997,-25.36288
"19","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",40.5,17.9,187,3200,"FEMALE",8.08138,-25.49448
"20","Adelie Penguin (Pygoscelis adeliae)","Biscoe","No",37.9,18.6,172,3150,"FEMALE",8.38404,-25.19837
"21","Adelie Penguin (Pygoscelis adeliae)","Biscoe","No",40.5,18.9,180,3950,"MALE",8.90027,-25.11609
"22","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",39.5,16.7,178,3250,"FEMALE",9.69756,-25.11223
"23","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",37.2,18.1,178,3900,"MALE",9.72764,-25.0102
